Date : 2023-04-22 07:27:40
Directory : c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main
Total : 136 files,  13515 codes, 1869 comments, 3192 blanks, all 18576 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        134 |     13,471 |      1,853 |      3,169 |     18,493 |
| Java Properties |          2 |         44 |         16 |         23 |         83 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\dto\PostDto.java                                   | Java            |         42 |          0 |         15 |         57 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\dto\RegisterRequest.java                           | Java            |        103 |          0 |         36 |        139 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\dto\SubjectDto.java                                | Java            |         34 |          0 |         14 |         48 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\dto\TokenDto.java                                  | Java            |         25 |          1 |          9 |         35 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\dto\UpdateProfileRequest.java                      | Java            |         28 |          0 |         12 |         40 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\jwt\JwtHelper.java                                 | Java            |        108 |          3 |         28 |        139 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\mapper\MapperAuth.java                             | Java            |        126 |         10 |         49 |        185 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\mapper\MapperTeacher.java                          | Java            |         10 |          0 |          8 |         18 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\mm\Mm.java                                         | Java            |         48 |          0 |         13 |         61 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\mm\MmController.java                               | Java            |         63 |          6 |         19 |         88 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\mm\MmInitializer.java                              | Java            |         16 |        100 |         12 |        128 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\mm\MmRepository.java                               | Java            |          4 |          0 |          4 |          8 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Account.java                                 | Java            |         89 |          0 |         12 |        101 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\ApiError.java                                | Java            |         59 |          1 |         19 |         79 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\AuthenticationResponse.java                  | Java            |         17 |          0 |         10 |         27 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\BaseModel.java                               | Java            |         15 |          0 |          7 |         22 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Comment.java                                 | Java            |         56 |          0 |         18 |         74 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\CurrencyRequest.java                         | Java            |         73 |          0 |         23 |         96 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Currencyy.java                               | Java            |         83 |          0 |         23 |        106 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Errors.java                                  | Java            |         99 |          1 |         28 |        128 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Files_.java                                  | Java            |         91 |          0 |          5 |         96 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Post.java                                    | Java            |         59 |          0 |         19 |         78 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\RefreshToken.java                            | Java            |         16 |          0 |          7 |         23 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Remark.java                                  | Java            |         56 |          0 |         20 |         76 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Rights.java                                  | Java            |         35 |          1 |         13 |         49 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\Roles.java                                   | Java            |         38 |          0 |         17 |         55 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\User.java                                    | Java            |        125 |          0 |         37 |        162 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\model\UserRole.java                                | Java            |         23 |          0 |          9 |         32 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\response\APIResponse.java                          | Java            |        142 |         15 |         38 |        195 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\security\AccessTokenFilter.java                    | Java            |         86 |          2 |         18 |        106 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\service\AuthService.java                           | Java            |        269 |         60 |         50 |        379 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\service\PostService.java                           | Java            |         46 |          0 |         13 |         59 |
